4,Airport ID,Name,City,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TZ,Type,Source
ZGU,5906,Gaua Island Airport,Gaua Island,Vanuatu,NVSQ,-14.218099594099998,167.587005615,100,11.0,U,Pacific/Efate,airport,OurAirports
SON,5908,Santo Pekoa International Airport,Santo,Vanuatu,NVSS,-15.505000114399998,167.220001221,184,11.0,U,Pacific/Efate,airport,OurAirports
TGH,5909,Tongoa Airport,Tongoa Island,Vanuatu,NVST,-16.8910999298,168.55099487299998,443,11.0,U,Pacific/Efate,airport,OurAirports
ULB,5910,Uléi Airport,Ambryn Island,Vanuatu,NVSU,-16.3297,168.3011,170,11.0,U,Pacific/Efate,airport,OurAirports
VLS,5911,Valesdir Airport,Valesdir,Vanuatu,NVSV,-16.796100616500002,168.177001953,10,11.0,U,Pacific/Efate,airport,OurAirports
SWJ,5912,Southwest Bay Airport,Malekula Island,Vanuatu,NVSX,-16.4864,167.4472,68,11.0,U,Pacific/Efate,airport,OurAirports
AUY,5914,Aneityum Airport,Anelghowhat,Vanuatu,NVVA,-20.2492008209,169.770996094,7,11.0,U,Pacific/Efate,airport,OurAirports
AWD,5915,Aniwa Airport,Aniwa,Vanuatu,NVVB,-19.2346,169.6009,69,11.0,U,Pacific/Efate,airport,OurAirports
DLY,5916,Dillon's Bay Airport,Dillon's Bay,Vanuatu,NVVD,-18.769399642899998,169.00100708,630,11.0,U,Pacific/Efate,airport,OurAirports
FTA,5917,Futuna Airport,Futuna Island,Vanuatu,NVVF,-19.516399383499998,170.23199462899998,95,11.0,U,Pacific/Efate,airport,OurAirports
IPA,5918,Ipota Airport,Ipota,Vanuatu,NVVI,-18.856389,169.283333,23,11.0,U,Pacific/Efate,airport,OurAirports
TGJ,5919,Tiga Airport,Tiga,New Caledonia,NWWA,-21.096099853515625,167.8040008544922,128,11.0,U,Pacific/Noumea,airport,OurAirports
BMY,5920,Île Art - Waala Airport,Waala,New Caledonia,NWWC,-19.720600128173828,163.66099548339844,306,11.0,U,Pacific/Noumea,airport,OurAirports
ILP,5921,Île des Pins Airport,Île des Pins,New Caledonia,NWWE,-22.58889961242676,167.45599365234375,315,11.0,U,Pacific/Noumea,airport,OurAirports
DWD,5924,Dawadmi Domestic Airport,Dawadmi,Saudi Arabia,OEDW,24.5,44.400001525878906,3429,3.0,U,Asia/Riyadh,airport,OurAirports
AJF,5925,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,OESK,29.78510093688965,40.099998474121094,2261,3.0,U,Asia/Riyadh,airport,OurAirports
KHD,5927,Khoram Abad Airport,Khorram Abad,Iran,OICK,33.43539810180664,48.28290176391602,3782,3.5,E,Asia/Tehran,airport,OurAirports
BXR,5928,Bam Airport,Bam,Iran,OIKM,29.08419990539551,58.45000076293945,3231,3.5,E,Asia/Tehran,airport,OurAirports
BJB,5930,Bojnord Airport,Bojnourd,Iran,OIMN,37.49300003051758,57.30820083618164,3499,3.5,E,Asia/Tehran,airport,OurAirports
AFZ,5931,Sabzevar National Airport,Sabzevar,Iran,OIMS,36.16809844970703,57.59519958496094,3010,3.5,E,Asia/Tehran,airport,OurAirports
NSH,5932,Noshahr Airport,Noshahr,Iran,OINN,36.66329956054688,51.464698791503906,-61,3.5,E,Asia/Tehran,airport,OurAirports
SRY,5933,Dasht-e Naz Airport,Dasht-e-naz,Iran,OINZ,36.635799408000004,53.1935997009,35,3.5,E,Asia/Tehran,airport,OurAirports
LRR,5934,Lar Airport,Lar,Iran,OISL,27.6746997833,54.3833007812,2641,3.5,E,Asia/Tehran,airport,OurAirports
ADU,5935,Ardabil Airport,Ardabil,Iran,OITL,38.3256988525,48.4244003296,4315,3.5,E,Asia/Tehran,airport,OurAirports
OMH,5936,Urmia Airport,Uromiyeh,Iran,OITR,37.6680984497,45.068698883100005,4343,3.5,E,Asia/Tehran,airport,OurAirports
AAN,5937,Al Ain International Airport,Al Ain,United Arab Emirates,OMAL,24.261699676513672,55.60919952392578,869,4.0,U,Asia/Dubai,airport,OurAirports
BHV,5939,Bahawalpur Airport,Bahawalpur,Pakistan,OPBW,29.348100662231445,71.71800231933594,392,5.0,N,Asia/Karachi,airport,OurAirports
CJL,5940,Chitral Airport,Chitral,Pakistan,OPCH,35.88660049438477,71.80059814453125,4920,5.0,N,Asia/Karachi,airport,OurAirports
DBA,5941,Dalbandin Airport,Dalbandin,Pakistan,OPDB,28.8782997131,64.3998031616,2800,5.0,N,Asia/Karachi,airport,OurAirports
DEA,5942,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,OPDG,29.961000442504886,70.48590087890625,492,5.0,N,Asia/Karachi,airport,OurAirports
DSK,5943,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan,OPDI,31.90940093994141,70.89659881591797,594,5.0,N,Asia/Karachi,airport,OurAirports
KDU,5949,Skardu Airport,Skardu,Pakistan,OPSD,35.33549880981445,75.53600311279297,7316,5.0,N,Asia/Karachi,airport,OurAirports
TUK,5951,Turbat International Airport,Turbat,Pakistan,OPTU,25.98640060424805,63.03020095825195,498,5.0,N,Asia/Karachi,airport,OurAirports
ISU,5952,Sulaymaniyah International Airport,Sulaymaniyah,Iraq,ORSU,35.5617485046,45.316738128699996,2494,3.0,U,Asia/Baghdad,airport,OurAirports
GXF,5954,Sayun International Airport,Sayun Intl,Yemen,OYSY,15.9660997391,48.78829956049999,2097,3.0,U,Asia/Aden,airport,OurAirports
ADK,5959,Adak Airport,Adak Island,United States,PADK,51.87799835205078,-176.64599609375,18,-10.0,A,America/Adak,airport,OurAirports
